Scheme Code;NAV Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Bank of India Mutual Fund
148414;JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan;Direct Plan;Unclaimed Application Refund Amount I.E.F - Growth Plan;;;41.4437;22-Aug-2026
148413;JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan;Direct Plan;Unclaimed Brokerage I.E.F - Growth Plan;;;41.4437;22-Aug-2026
101549;JM Liquid Fund (Regular) - Bonus Option - Principal Units;Regular Plan;Bonus Option - Principal Units;INF192K01890;;24.4308;22-Aug-2026
101078;JM Liquid Fund (Regular) - Daily IDCW;Regular Plan;Daily IDCW Option;;INF192K01833;10.4302;22-Aug-2026

LIC Mutual Fund
120248;LIC MF Liquid Fund-Direct Plan-Daily IDCW;Direct Plan;Daily IDCW;INF767K01DL5;INF767K01DM3;1035.2975;22-Aug-2026
120249;LIC MF Liquid Fund-Direct Plan-Growth;Direct Plan;Growth;INF767K01DN1;;5138.2282;22-Aug-2026
151930;LIC MF Liquid Fund-Direct Plan-Monthly IDCW;Direct Plan;Monthly IDCW;INF397L01AK7;INF397L01AJ9;1247.0785;22-Aug-2026
151932;LIC MF Liquid Fund-Direct Plan-Weekly IDCW;Direct Plan;Weekly IDCW;INF397L01AM3;INF397L01AL5;1114.0871;22-Aug-2026
101184;LIC MF Liquid Fund-Regular Plan-Daily IDCW;Regular Plan;Daily IDCW;INF767K01IQ3;INF767K01IR1;1000.1751;22-Aug-2026
101185;LIC MF Liquid Fund-Regular Plan-Growth;Regular Plan;Growth;INF767K01IS9;;5060.4085;22-Aug-2026
151928;LIC MF Liquid Fund-Regular Plan-Monthly IDCW;Regular Plan;Monthly IDCW;INF397L01976;INF397L01968;1225.7435;22-Aug-2026
151927;LIC MF Liquid Fund-Regular Plan-Weekly IDCW;Regular Plan;Weekly IDCW;INF397L01950;INF397L01943;1002.7398;22-Aug-2026

Mahindra Manulife Mutual Fund
139535;Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW;Direct Plan;Daily IDCW;;INF174V01051;1294.4997;22-Aug-2026
139536;Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW;Direct Plan;Weekly IDCW;;INF174V01069;1003.3265;22-Aug-2026
139538;Mahindra Manulife Liquid Fund - Direct Plan -Growth;Direct Plan;Growth;INF174V01044;;1843.6493;22-Aug-2026
139534;Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW;Regular Plan;Daily IDCW;;INF174V01028;1001.6836;22-Aug-2026
139537;Mahindra Manulife Liquid Fund - Regular Plan - Growth;Regular Plan;Growth;INF174V01010;;1821.8048;22-Aug-2026
139541;Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW;Regular Plan;Weekly IDCW;;INF174V01036;1009.7423;22-Aug-2026

Nippon India Mutual Fund
100852;NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION;Regular Plan;DAILY IDCW OPTION;;INF204K01UM1;1528.9881;22-Aug-2026
118695;NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION;Direct Plan;DAILY IDCW OPTION;;INF204K01ZG2;1528.9945;22-Aug-2026
118696;NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION;Direct Plan;MONTHLY IDCW OPTION;INF204K01ZI8;INF204K01ZJ6;1594.3728;22-Aug-2026
118698;NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION;Direct Plan;QUARTERLY IDCW OPTION;INF204K01ZK4;INF204K01ZL2;1015.4144;22-Aug-2026
118700;NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION;Direct Plan;WEEKLY IDCW OPTION;INF204KC1FN6;INF204K01ZM0;1530.9335;22-Aug-2026
118701;Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option;Direct Plan;Growth Option;INF204K01ZH0;;6930.4453;22-Aug-2026
100855;NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION;Regular Plan;MONTHLY IDCW OPTION;INF204K01UO7;INF204K01UP4;1590.8814;22-Aug-2026
112340;NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION;Regular Plan;QUARTERLY IDCW OPTION;INF204K01UQ2;INF204K01UR0;1014.8546;22-Aug-2026
100837;Nippon India Liquid Fund - Retail Option - Growth Plan;Regular Plan;Retail Plan - Growth Option;INF204K01UL3;;6053.2407;22-Aug-2026
100842;NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION;Regular Plan;RETAIL Plan - DAILY IDCW OPTION;;INF204K01UJ7;1524.5241;22-Aug-2026
100843;NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION;Regular Plan;RETAIL plan - MONTHLY IDCW OPTION;INF204K01UT6;INF204K01UU4;1332.2960;22-Aug-2026
100844;NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION;Regular Plan;RETAIL Plan - QUARTERLY IDCW OPTION;INF204K01UV2;INF204K01UW0;1226.3831;22-Aug-2026
100838;NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION;Regular Plan;RETAIL Plan - WEEKLY IDCW OPTION;;INF204K01UK5;1034.5706;22-Aug-2026
100853;NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION;Regular Plan;WEEKLY IDCW OPTION;INF204KC1FM8;INF204K01US8;1530.9162;22-Aug-2026
100851;Nippon India Liquid Fund -Growth Plan;Regular Plan;Growth Option;INF204K01UN9;;6832.2520;22-Aug-2026

PGIM India Mutual Fund
138285;PGIM India Liquid Fund - Daily Dividend;Regular Plan;Regular IDCW;;INF223J01BO9;100.304;22-Aug-2026
138297;PGIM India Liquid Fund - Direct Plan - Daily Dividend;Direct Plan;Direct IDCW;INF223J01NR7;;131.6391;22-Aug-2026
138299;PGIM India Liquid Fund - Direct Plan - Growth;Direct Plan;Direct Growth;INF223J01NS5;;369.3715;22-Aug-2026
